local_id_attribute	symbol	geneid
801_201273_s_at	SRP9	6726
802_201274_at	PSMA5	5686
803_201275_at	FDPS	2224
804_201276_at	RAB5B	5869
805_201277_s_at	HNRNPAB	3182
806_201278_at	DAB2	1601
807_201279_s_at	DAB2	1601
808_201280_s_at	DAB2	1601
809_201281_at	ADRM1	11047
810_201282_at	OGDH	4967
811_201283_s_at	TRAK1	22906
812_201284_s_at	APEH	327
813_201285_at	MKRN1	23608
814_201286_at	SDC1	6382
815_201287_s_at	SDC1	6382
816_201288_at	ARHGDIB	397
817_201289_at	CYR61	3491
818_201290_at	SEC11A	23478
819_201291_s_at	TOP2A	7153
820_201292_at	TOP2A	7153
821_201293_x_at	PPIA	5478
822_201294_s_at	WSB1	26118
823_201295_s_at	WSB1	26118
824_201296_s_at	WSB1	26118
825_201297_s_at	MOBKL1B	55233
826_201298_s_at	MOBKL1B	55233
827_201299_s_at	MOBKL1B	55233
828_201300_s_at	PRNP	5621
829_201301_s_at	ANXA4	307
